method,runtime_s,initial_mass,final_mass,mass_error
FTCS,0.035550200002035126,1.0,1.0121666767728046,0.012166676772804585
Crank-Nicolson,0.17369239999970887,1.0,0.9999999999999483,5.1736392947532295e-14
Split-Step-FFT,0.1206023999984609,1.0,1.00000000000001,9.992007221626409e-15
