method,grid_size,dx,dt,steps,runtime_s,mass_final
FTCS,256,0.234375,0.002,175,0.011532299991813488,1.0047247607076948
Crank-Nicolson,256,0.234375,0.002,175,0.06472589999611955,1.000000000000008
Split-Step-FFT,256,0.234375,0.002,175,0.03731490000791382,1.0000000000000235
FTCS,512,0.1171875,0.002,175,0.012552699990919791,1.004935110728056
Crank-Nicolson,512,0.1171875,0.002,175,0.07755909999832511,1.0000000000000027
Split-Step-FFT,512,0.1171875,0.002,175,0.05007719999412075,1.0000000000000207
FTCS,1024,0.05859375,0.002,175,0.01939210000273306,7.155025434087722e+31
Crank-Nicolson,1024,0.05859375,0.002,175,0.09274570000707172,1.0000000000000029
Split-Step-FFT,1024,0.05859375,0.002,175,0.08096700000169221,1.000000000000025
