method,N,dx,dt,runtime_s,L1,L2,Linf,mass
FTCS,512,0.1171875,0.002,0.4968083999992814,31.97545659444974,9.350286146137819,4.68453636261854,88.45147172979937
Backward-Euler,512,0.1171875,0.002,2.586921300011454,0.09887737341509642,0.035190830806191675,0.02004543958463083,0.9763222796182757
Crank-Nicolson,512,0.1171875,0.002,2.560584300008486,0.09310243439462224,0.031093716704802835,0.016304571158274214,0.9999999999997393
Split-Step-FFT,512,0.1171875,0.002,1.490860200006864,6.819042525376476e-13,1.2029068760564138e-13,4.612722818726867e-14,1.0000000000001492
RK4,512,0.1171875,0.002,1.4739258000045083,0.09303288163417801,0.031070042675293133,0.016291449308466037,0.999999999998405
