method,N,dx,dt,r_dt_over_dx2,mass,max_amp,stable
Split-Step-FFT,128,0.3125,0.004,0.04096,1.000000000000095,0.5580816134116231,True
RK4,128,0.3125,0.004,0.04096,0.999999999947792,0.6045907959753847,True
FTCS,128,0.3125,0.01,0.1024,1.107038201281397,0.6359419525541102,True
Backward-Euler,128,0.3125,0.01,0.1024,0.9150678982160404,0.5765073136588268,True
Crank-Nicolson,128,0.3125,0.01,0.1024,1.0000000000000175,0.604756610207784,True
Split-Step-FFT,128,0.3125,0.01,0.1024,1.0000000000000373,0.5580816134116059,True
RK4,128,0.3125,0.01,0.1024,0.9999999949034442,0.6045908667957092,True
FTCS,128,0.3125,0.02,0.2048,1.2466179870006653,0.6837339860786448,True
Backward-Euler,128,0.3125,0.02,0.2048,0.8458506699836899,0.552280219544092,True
Crank-Nicolson,128,0.3125,0.02,0.2048,0.9999999999999922,0.6052549702494653,True
Split-Step-FFT,128,0.3125,0.02,0.2048,1.0000000000000207,0.5580816134116008,True
RK4,128,0.3125,0.02,0.2048,0.9999998371300418,0.6045919873455909,True
FTCS,128,0.3125,0.04,0.4096,1.6911128078706403,0.8597673363818435,True
Backward-Euler,128,0.3125,0.04,0.4096,0.7418812155144063,0.5210297671738735,True
Crank-Nicolson,128,0.3125,0.04,0.4096,1.0000000000000118,0.609590789701829,True
Split-Step-FFT,128,0.3125,0.04,0.4096,1.000000000000009,0.5601063012255196,True
RK4,128,0.3125,0.04,0.4096,0.9999948858334156,0.6069991839896166,True
FTCS,128,0.3125,0.08,0.8192,5.705201391989096,2.0036658163164995,False
Backward-Euler,128,0.3125,0.08,0.8192,0.5977720200923899,0.4651911534784263,True
Crank-Nicolson,128,0.3125,0.08,0.8192,1.0000000000000033,0.6128524191505939,True
Split-Step-FFT,128,0.3125,0.08,0.8192,1.0000000000000056,0.5562480304240411,True
RK4,128,0.3125,0.08,0.8192,0.999836025247407,0.6021469420275423,True
FTCS,192,0.20833333333333215,0.001,0.02304000000000026,1.0103084689602762,0.5809693871494775,True
Backward-Euler,192,0.20833333333333215,0.001,0.02304000000000026,0.9899565797185346,0.575749367347466,True
Crank-Nicolson,192,0.20833333333333215,0.001,0.02304000000000026,0.9999999999999395,0.5783504038532312,True
Split-Step-FFT,192,0.20833333333333215,0.001,0.02304000000000026,1.0000000000000129,0.5588274125969627,True
RK4,192,0.20833333333333215,0.001,0.02304000000000026,0.9999999999999273,0.5783488743478907,True
FTCS,192,0.20833333333333215,0.004,0.09216000000000105,1.0429452307337608,0.58895752079752,True
Backward-Euler,192,0.20833333333333215,0.004,0.09216000000000105,0.9613094843675393,0.5680760565779881,True
Crank-Nicolson,192,0.20833333333333215,0.004,0.09216000000000105,0.9999999999999115,0.5783733492679046,True
Split-Step-FFT,192,0.20833333333333215,0.004,0.09216000000000105,1.0000000000000104,0.5588274125969659,True
RK4,192,0.20833333333333215,0.004,0.09216000000000105,0.9999999999248362,0.5783488755962635,True
FTCS,192,0.20833333333333215,0.01,0.23040000000000263,1.1172280949157838,0.6076352958407245,True
Backward-Euler,192,0.20833333333333215,0.01,0.23040000000000263,0.9098647166656654,0.5532829535003039,True
Crank-Nicolson,192,0.20833333333333215,0.01,0.23040000000000263,1.0000000000000435,0.5785019394161478,True
Split-Step-FFT,192,0.20833333333333215,0.01,0.23040000000000263,1.0000000000000036,0.5588274125969641,True
RK4,192,0.20833333333333215,0.01,0.23040000000000263,0.9999999926632358,0.5783489246965579,True
FTCS,192,0.20833333333333215,0.02,0.46080000000000526,1.2784612142891216,0.6448187639734225,True
Backward-Euler,192,0.20833333333333215,0.02,0.46080000000000526,0.837879165157846,0.5339048059387951,True
Crank-Nicolson,192,0.20833333333333215,0.02,0.46080000000000526,0.9999999999999989,0.5789625243303402,True
Split-Step-FFT,192,0.20833333333333215,0.02,0.46080000000000526,1.0000000000000013,0.5588274125969637,True
RK4,192,0.20833333333333215,0.02,0.46080000000000526,0.9999997656145976,0.5783497171804949,True
FTCS,192,0.20833333333333215,0.04,0.9216000000000105,1.911887409028127,0.8257630284325956,False
Backward-Euler,192,0.20833333333333215,0.04,0.9216000000000105,0.7317015081360292,0.5039176959309462,True
Crank-Nicolson,192,0.20833333333333215,0.04,0.9216000000000105,0.9999999999999963,0.5833361409295703,True
Split-Step-FFT,192,0.20833333333333215,0.04,0.9216000000000105,1.0000000000000002,0.561853953378642,True
RK4,192,0.20833333333333215,0.04,0.9216000000000105,0.9999926503111678,0.5808735420692371,True
FTCS,192,0.20833333333333215,0.08,1.843200000000021,18.777749563437652,3.6098653813246995,False
Backward-Euler,192,0.20833333333333215,0.08,1.843200000000021,0.5873696246948842,0.45278383173863773,True
Crank-Nicolson,192,0.20833333333333215,0.08,1.843200000000021,1.0000000000000069,0.585817662401498,True
Split-Step-FFT,192,0.20833333333333215,0.08,1.843200000000021,1.0000000000000004,0.5562480304240397,True
RK4,192,0.20833333333333215,0.08,1.843200000000021,0.9997708391908827,0.5748329537963432,True
