case,E,V0,T,R,R_plus_T
E<V0,0.55,1.0,0.11892258370878507,0.8810242821125408,0.9999468658213259
E~V0,1.0000000000000002,1.0,0.3772730197871126,0.6227269026537279,0.9999999224408405
E>V0,1.7999999999999998,1.0,0.8653692639445922,0.13463073605642728,1.0000000000010196
