grid_size,N,dx,dy,dt,n_steps,L1_error,L2_error,Linf_error,mass_numerical,mass_exact,mass_error
40,1600,0.75,0.75,0.005,150,0.10150637463194125,0.009426619349889075,0.0017918290846738278,1.0000000000000664,0.9999999999999996,6.683542608243442e-14
60,3600,0.5,0.5,0.005,150,3.752488553582422e-06,3.1833836344130334e-07,4.531124464300711e-08,0.9999999999999826,1.0000000000000002,1.765254609153999e-14
80,6400,0.375,0.375,0.005,150,5.138131666418227e-13,3.496140906424269e-14,1.3432551624387689e-14,1.0000000000000466,1.0000000000000002,4.6407322429331543e-14
100,10000,0.3000000000000007,0.3000000000000007,0.005,150,4.2339704176310056e-13,2.5629703569312478e-14,8.25672395035925e-15,1.0000000000000082,1.0000000000000002,7.993605777301127e-15
