grid_size,N,dx,dy,dt,n_steps,L1_error,L2_error,Linf_error,mass_numerical,mass_exact,mass_error
32,1024,0.9375,0.9375,0.005,100,0.7525267178119242,0.08281942337385421,0.02100961297907769,1.0000000000000089,0.9999999999999998,9.103828801926284e-15
48,2304,0.625,0.625,0.005,100,0.002590652544428265,0.00024352117414243012,4.708391914510995e-05,0.999999999999933,1.0000000000000004,6.7390537594747e-14
64,4096,0.46875,0.46875,0.005,100,1.6651566933541035e-07,1.471697540190818e-08,2.366126809612258e-09,1.0000000000000082,0.9999999999999998,8.43769498715119e-15
