case,E,V0,T,R,R_plus_T
E<V0,0.55,1.0,0.13267420855249568,0.8666391801881513,0.999313388740647
E~V0,1.0000000000000002,1.0,0.38917487070543144,0.6108197584746657,0.9999946291800972
E>V0,1.7999999999999998,1.0,0.8632993462196926,0.1367006537617954,0.999999999981488
