method,runtime_s,initial_mass,final_mass,mass_error
FTCS,0.023346200003288686,1.0,1.0117411130988896,0.011741113098889588
Crank-Nicolson,0.08843629999319091,1.0,1.000000000000002,1.9984014443252818e-15
Split-Step-FFT,0.05329220002749935,1.0,1.000000000000042,4.196643033083092e-14
