method,N,dx,dt,runtime_s,L1,L2,Linf,mass
FTCS,384,0.15625,0.0025,0.055098499986343086,0.18589825630692047,0.061122320377968414,0.02953890537503896,1.03103726975301
Backward-Euler,384,0.15625,0.0025,0.22281390003627166,0.16464251842406125,0.05775544521038187,0.03259308808872309,0.9709325114223084
Crank-Nicolson,384,0.15625,0.0025,0.25650819996371865,0.16385304621921654,0.05499009126392624,0.029007744515484327,0.9999999999999576
Split-Step-FFT,384,0.15625,0.0025,0.1619034000323154,3.547012927112861e-13,5.38612475149257e-14,1.9802124923909106e-14,0.9999999999999414
RK4,384,0.15625,0.0025,0.26150990003952757,0.1637496999810659,0.054954401221772343,0.02898750540756597,0.9999999999954123
