method,grid_size,dx,dt,steps,runtime_s,mass_final
FTCS,192,0.3125,0.002,175,0.012232900015078485,1.004517122104447
Crank-Nicolson,192,0.3125,0.002,175,0.026232899981550872,1.0000000000000022
Split-Step-FFT,192,0.3125,0.002,175,0.01422800001455471,0.9999999999999442
FTCS,384,0.15625,0.002,175,0.00629379996098578,1.004879590917937
Crank-Nicolson,384,0.15625,0.002,175,0.026315199967939407,1.0000000000000089
Split-Step-FFT,384,0.15625,0.002,175,0.019261899986304343,0.9999999999999837
